item,pc,npc,coord,categoria
Includes the merit House Tremere Loyal (OWBN custom),Coordinator Approval,Coordinator Approval,Tremere,Non-Tremere recognized as swearing the Oath and holding rank in the Pyramid (aka: joining House Tremere)
Salubri Changing Castes,Coordinator Approval,Coordinator Notify,Salubri,Salubri Changing Castes
Wu Zao Changing Castes,Coordinator Notify,Coordinator Notify,Salubri,Wu Zao Changing Castes
Tremere or Telyavelic with Tremere Familiar Background,Unregulated,Coordinator Notify,Tremere,Tremere or Telyavelic with Tremere Familiar Background
Non-Tremere/Non-Telyavelic with Tremere Familiar Background,Disallowed,Disallowed,Tremere,Non-Tremere/Non-Telyavelic with Tremere Familiar Background
Background: Memento de Morte 4 and 5,Coordinator Approval,Coordinator Approval,Giovanni,Background: Memento de Morte 4 and 5
Background: Honored Dead,Coordinator Approval,Coordinator Approval,Giovanni,Background: Honored Dead
Non Ravnos/Ravnos Antitribu with Returned Mentor,Disallowed,Disallowed,Ravnos,Non Ravnos/Ravnos Antitribu with Returned Mentor
Laibon Clan (Faith and Fire),Disallowed,Disallowed,Anarch,Laibon Clan (Faith and Fire)
Laibon,Coordinator Approval,Coordinator Approval,Anarch,Laibon
Characters belonging to the Africa Based Sect,Coordinator Approval,Coordinator Approval,Anarch,Laibon
Lore: Laibon for Non-Laibon,Coordinator Approval,Coordinator Approval,Anarch,Lore: Laibon for Non-Laibon
Laibon Legacy Lores for Non-Laibon,Coordinator Approval,Coordinator Approval,Anarch,Laibon Legacy Lores for Non-Laibon
Genre-Specific Traits for Non-Laibon,Coordinator Approval,Coordinator Approval,Anarch,Genre-Specific Traits for Non-Laibon
Abombwe,Coordinator Approval,Coordinator Approval,Anarch,Abombwe
Laibon Version of Auspex for non-Laibon,Coordinator Approval NPC: Coordinator Approval,,Anarch,Laibon Version of Auspex for non-Laibon
Laibon version of Celerity for non-Laibon,Coordinator Approval NPC: Coordinator Approval,,Anarch,Laibon version of Celerity for non-Laibon
Laibon version of Vicissitude for non-Laibon,Coordinator Approval NPC: Coordinator Approval,,Anarch and Tzimisce,Laibon version of Vicissitude for non-Laibon
Aizina for non-Ramanga,Coordinator Approval NPC: Coordinator Approval,,Lasombra,Aizina for non-Ramanga
See 10.M.viii.33.a,Coordinator Approval NPC: Coordinator Approval,,Lasombra,Aizina for non-Ramanga
Additionally,Coordinator Notify,Coordinator Notify,Anarch,Additionally
Non-Ramanga or Xi Dundu with following Ramanga Combination Discipline,Coordinator Approval NPC: Coordinator Approval,,Anarch and Lasombra,Non-Ramanga or Xi Dundu with following Ramanga Combination Discipline
Laibon with Out of Clan African Necromancy,Coordinator Approval,Coordinator Approval,Giovanni,Laibon with Out of Clan African Necromancy
Additionally,Coordinator Notify,Coordinator Notify,Anarch,Additionally
Ambassador Ranks from (or for) the Laibon to other Groups or Sects,Coordinator Approval,Coordinator Approval,Anarch,Ambassador Ranks from (or for) the Laibon to other Groups or Sects
Jakada (Ambassador),Coordinator Approval,Coordinator Approval,Anarch,Ambassador Ranks from (or for) the Laibon to other Groups or Sects
Mai Karewa (Protector),Coordinator Approval,Coordinator Approval,Anarch,Ambassador Ranks from (or for) the Laibon to other Groups or Sects
Muryar (The Voice),Coordinator Approval,Coordinator Approval,Anarch,Ambassador Ranks from (or for) the Laibon to other Groups or Sects
Artificers Guild,Coordinator Notify,Coordinator Notify,Wraith,Artificers Guild
Masquers Guild,Coordinator Notify,Coordinator Notify,Wraith,Masquers Guild
Pardoners Guild,Coordinator Notify,Coordinator Notify,Wraith,Pardoners Guild
Usurers Guild,Coordinator Notify,Coordinator Notify,Wraith,Usurers Guild
Chanteurs Guild,Coordinator Notify,Coordinator Notify,Wraith,Chanteurs Guild
Harbingers Guild,Coordinator Notify,Coordinator Notify,Wraith,Harbingers Guild
Oracles Guild,Coordinator Notify,Coordinator Notify,Wraith,Oracles Guild
Sandmen Guild,Coordinator Notify,Coordinator Notify,Wraith,Sandmen Guild
Haunters Guild,Coordinator Notify,Coordinator Notify,Wraith,Haunters Guild
Monitors Guild,Coordinator Notify,Coordinator Notify,Wraith,Monitors Guild
Spooks Guild,Coordinator Notify,Coordinator Notify,Wraith,Spooks Guild
Proctors Guild,Coordinator Notify,Coordinator Notify,Wraith,Proctors Guild
Puppeteers Guild,Coordinator Notify,Coordinator Notify,Wraith,Puppeteers Guild
Alchemists Guild,Coordinator Approval,Coordinator Notify,Wraith,Alchemists Guild
Mnemoi Guild,Coordinator Approval,Coordinator Notify,Wraith,Mnemoi Guild
Solicitors Guild,Coordinator Approval,Coordinator Notify,Wraith,Solicitors Guild
"Wraith with ""Forbidden Paths"" (Argos 5)",Coordinator Approval,Coordinator Approval,Wraith,"Wraith with ""Forbidden Paths"" (Argos 5)"
"Wraith with ""Shadow Possess"" (Puppetry 5)",Coordinator Approval,Coordinator Notify,Wraith,"Wraith with ""Shadow Possess"" (Puppetry 5)"
Vampire PCs or NPC's with the ability Soul Forging,Coordinator Approval,Coordinator Approval,s: Giovanni and Wraith,Vampire PCs or NPC's with the ability Soul Forging
The use of Path of Karma 5 for the purpose of being reborn as a Wraith,Coordinator Notify,Coordinator Notify,s: Wraith and Ravnos,The use of Path of Karma 5 for the purpose of being reborn as a Wraith
The use of Leer of Hades on any PC,Coordinator Notify,Coordinator Notify,"s: Followers of Set, Giovanni, and Wraith",The use of Leer of Hades on any PC
Lore Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi,Coordinator Approval,Coordinator Approval,Wraith,Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi
Lore Long Leap,Coordinator Approval,Coordinator Approval,Wraith,Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi
Lore Beckon Tools,Coordinator Approval,Coordinator Approval,Wraith,Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi
Lore Burning Aegis,Coordinator Approval,Coordinator Approval,Wraith,Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi
Lore Spirit Triage,Coordinator Approval,Coordinator Approval,Wraith,Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi
Lore Serendipitous Passage,Coordinator Approval,Coordinator Approval,Wraith,Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi
The Bridge of Thoughts,Coordinator Approval,Coordinator Approval,Wraith,Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi
Lore Guardian's Filament,Coordinator Approval,Coordinator Approval,Wraith,Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi
The Shear of Fate,Coordinator Approval,Coordinator Approval,Wraith,Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi
Lore Concussive Shout,Coordinator Approval,Coordinator Approval,Wraith,Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi
Lore Messenger of Light,Coordinator Approval,Coordinator Approval,Wraith,Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi
See With Blind Eyes,Coordinator Approval,Coordinator Approval,Wraith,Non-Ferrymen Wraiths Learning Ferrymen Specific Tempered Arcanoi
Lore Membership into or Defecting from the Legion of the Damned,Coordinator Approval,Coordinator Approval,Wraith,Membership into or Defecting from the Legion of the Damned
Lore Hierarchy Reputation 3+,Coordinator Approval,Coordinator Approval,Wraith,Hierarchy Reputation 3+
Lore Open the Channel,Coordinator Approval,Coordinator Approval,Wraith,Open the Channel
Lore Enshrouded Absence,Coordinator Approval,Coordinator Approval,Wraith,Enshrouded Absence
Lore Trim the Thorns,Coordinator Approval,Coordinator Approval,Wraith,Trim the Thorns
Lore Shroud Walker,Coordinator Approval,Coordinator Approval,Wraith,Shroud Walker
Lore Guide Through the Dark,Coordinator Approval,Coordinator Approval,Wraith,Guide Through the Dark
PC Supernatural to Wraith,Simple Majority Vote,Coordinator Approval,Wraith,PC Supernatural to Wraith
Risen,Coordinator Approval,Coordinator Approval,Wraith,Risen
Ferrymen (Wraith Guild),2/3 Majority Vote,Simple Majority Vote,Wraith,Ferrymen (Wraith Guild)
Pasiphae (Separated Shadows),2/3 Majority Vote,Simple Majority Vote,Wraith,Pasiphae (Separated Shadows)
Learning the Ritual of Severance,Disallowed,Disallowed,Wraith,Learning the Ritual of Severance
Benefitting from the Ritual of Severance,2/3 Majority Vote,Simple Majority Vote,Wraith,Benefitting from the Ritual of Severance
Laments from Orpheus book line,Disallowed,Disallowed,Wraith,Laments from Orpheus book line
Characters with Corrupt Edges and Divine Edges,Coordinator Approval,Unregulated,Hunter,Characters with Corrupt Edges and Divine Edges
Demi-Supernatural Imbued,Disallowed,Disallowed,Hunter,Demi-Supernatural Imbued
Ghoul,Disallowed,Disallowed,Hunter,Demi-Supernatural Imbued
Dhampir,Disallowed,Disallowed,Hunter,Demi-Supernatural Imbued
Kinfolk,Disallowed,Disallowed,Hunter,Demi-Supernatural Imbued
Kinain,Disallowed,Disallowed,Hunter,Demi-Supernatural Imbued
Hedge-mage,Disallowed,Disallowed,Hunter,Demi-Supernatural Imbued
Psychics,Disallowed,Disallowed,Hunter,Demi-Supernatural Imbued
True Faith,Disallowed,Disallowed,Hunter,Demi-Supernatural Imbued
Thrall,Disallowed,Disallowed,Hunter,Demi-Supernatural Imbued
Shih,Disallowed,Disallowed,Hunter,Demi-Supernatural Imbued
Imbued Hunters to Supernatural,Disallowed,Disallowed,Hunter,Imbued Hunters to Supernatural
Imbued Wayward,Coordinator Approval,Coordinator Notify,Hunter,Imbued Wayward
Shih,Coordinator Approval,Coordinator Approval,Hunter,Shih
"Full Supernaturals joining Society of Leopold, Florentine Heresy or any Dark Ages Hunter Organization",Coordinator Approval,Coordinator Approval,Hunter,"Full Supernaturals joining Society of Leopold, Florentine Heresy or any Dark Ages Hunter Organization"
Supernaturals with membership in the Society of Leopold or Florentine Heresy having Theurgy,Coordinator Notify,Coordinator Notify,Hunter,Supernaturals with membership in the Society of Leopold or Florentine Heresy having Theurgy
Supernaturals without a membership in the Society of Leopold / Florentine heresy having Theurgy,Disallowed,Coordinator Approval,Hunter,Supernaturals without a membership in the Society of Leopold / Florentine heresy having Theurgy
Supernaturals with 2 or more paths of Theurgy,Coordinator Approval,Coordinator Approval,Hunter,Supernaturals with 2 or more paths of Theurgy
Supernaturals with Convictions / Blessings / Endowments from membership in an Inquisition Group,Disallowed,Coordinator Approval,Hunter,Supernaturals with Convictions / Blessings / Endowments from membership in an Inquisition Group
Background at 2 and 3,Coordinator Notify,Coordinator Notify,Hunter,Background at 2 and 3
Background at 4 and 5,Coordinator Approval,Coordinator Notify,Hunter,Background at 4 and 5
Membership in the Council of Faith or Supreme Council for Society of Leopold or Florentine Heresy,Coordinator Approval,Coordinator Approval,Hunter,Membership in the Council of Faith or Supreme Council for Society of Leopold or Florentine Heresy
Ability: Imbued Hunter Exposure 3 or more,Coordinator Approval,Coordinator Approval,Hunter,Ability: Imbued Hunter Exposure 3 or more
Membership in Dark Ages Hunter organization The Order of the Poor Knights of the Passion of the Cross of Acre,Coordinator Approval,Coordinator Approval,Hunter,Membership in Dark Ages Hunter organization The Order of the Poor Knights of the Passion of the Cross of Acre
Membership in Dark Ages Hunter organization The Red Order,Coordinator Approval,Coordinator Approval,Hunter,Membership in Dark Ages Hunter organization The Red Order
Membership in Dark Ages Hunter organization The Sisters of St. John,Coordinator Approval,Coordinator Approval,Hunter,Membership in Dark Ages Hunter organization The Sisters of St. John
Membership in Dark Ages Hunter organization The House of Murnau,Coordinator Approval,Coordinator Approval,Hunter,Membership in Dark Ages Hunter organization The House of Murnau
Membership in Dark Ages Hunter organization Oculi Dei,Coordinator Approval,Coordinator Approval,Hunter,Membership in Dark Ages Hunter organization Oculi Dei
Membership in Enlightened Society of the Weeping Moon,Disallowed,Disallowed,Hunter,Membership in Enlightened Society of the Weeping Moon
Creation of Custom Dark Ages Hunter Organizations,Coordinator Approval,Coordinator Approval,Hunter,Creation of Custom Dark Ages Hunter Organizations
Sorcery Paths: Saturnal Anima and Saturnal Manes,Disallowed,Disallowed,Hunter,Sorcery Paths: Saturnal Anima and Saturnal Manes
